postcode_heuristic, commute_time
1468.0791983640581, 0.56
409.6639955808463, 0.82
988.1504821382872, 0.56
2529.182127493774, 1.08
381.2561689058657, 0.19
463.98015791513, 0.31
1850.873698712848, 0.44
462.01238289010473, 0.07
515.8222644392041, 0.38
209.44425023419055, 0.15
538.6813656240417, 0.58
303.3372232593709, 0.0
320.78663591687535, 0.32
537.5784688778763, 0.03
628.8458383512221, 1.01
1.9803946305541185, 0.0
26.459165347360667, 0.17
23.146510227313325, 0.07
545.8422927286484, 0.23
1081.1038913839361, 0.63
2483.302624538775, 1.12
0.0, 0.0
428.3400052960092, 0.55
306.03111568868934, 0.39
930.1261391813106, 0.32
777.7277738270708, 1.33
466.6872401335814, 0.31
239.05269863975616, 0.18
659.0082565821898, 0.26
378.6249249363919, 0.04
0.0, 0.0
722.1301196730712, 0.36
677.2834468291034, 0.0
277.9865606311294, 0.13
793.5479113151345, 0.44
303.4513050257261, 0.0
530.6039449748213, 0.07
701.9787463418503, 0.67
454.82543217530196, 0.23
841.1096533663823, 1.23
1133.7328459969783, 0.2
214.6861956057454, 0.0
759.4499610041049, 0.66
1305.7042430185372, 0.2
1497.7681820321923, 0.02
655.02472967324, 0.11
114.25441103771473, 0.03
751.8366612137808, 0.07
1670.4251688079723, 0.24
1732.7271458922608, 1.82
2453.15001324623, 1.5
0.0, 0.0
1467.6933831555584, 0.17
933.6464041078774, 0.62
592.9584965779524, 0.22
485.47908869567436, 0.21
877.4419209310424, 0.37
545.0551119697031, 0.31
557.0784533817342, 0.0
806.3478051591889, 0.5
498.0448389656966, 0.2
1007.1221804060729, 1.2
2408.384753154863, 2.4
405.81661793074386, 0.23
1289.42308707982, 0.51
841.3163495294366, 0.52
0.0, 0.0
203.92941848417024, 0.0
626.4829701061302, 0.15
598.3301786325426, 0.13
788.4033049852351, 0.33
363.029397743899, 0.07
1472.4810396684563, 0.58
951.4317119741706, 0.15
383.1580472424213, 0.12
827.5258371855591, 0.2
526.6675354062307, 0.86
331.17516234476784, 0.38
627.7254903244433, 0.41
0.0, 0.0
1121.7131737358345, 0.4
2687.35910575094, 1.39
111.86325031176237, 0.15
485.53516936753203, 0.14
338.3052102428153, 0.3
451.1356993272597, 0.56
223.23827445145852, 0.02
820.4267839319921, 0.0
479.5788011990837, 0.17
1953.2708313401936, 0.71
732.4920797590171, 0.58
0.0, 0.0
332.2621045472819, 0.45
140.01544669256384, 0.0
230.53704942890158, 0.03
40.85116680454847, 0.0
0.0, 0.0
463.2181421275725, 0.5
413.1085409163783, 0.05
325.1082221743158, 0.0
448.2064583246705, 0.42
941.0598375503921, 0.8
497.71783691634755, 0.18
0.0, 0.0
675.9963452660768, 0.0
851.9840224783009, 0.61
674.3042191806182, 0.18
317.6636199083316, 0.55
398.76756631369244, 0.0
844.9300521564811, 0.99
449.32586057106687, 0.0
467.19797092047327, 0.03
34.51867721200062, 0.11
3338.8962404933613, 2.62
